ID,Country,Brand,Type,Package,Rating
738,USA,Brand D,Mi Goreng Bento Noodles In A Box Shallot Teriyaki Flavor,Tray,3.3
739,IDN,Brand E,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,5
740,JPN,Brand F,Negi Man Ramen,Pack,3
741,MMR,Brand A,Chinese Kitchen Chinese Style Instant Noodles,Pack,3.5
742,HUN,Brand B,Instant Noodles Shrimp Flavour,Pack,3.5
743,USA,Brand C,Udon JPNese Style Precooked Noodles With Soup Hot & Spicy Flavor,Bowl,3.3
744,JPN,Brand D,Snow Crab Flavour Shio Ramen,Pack,3.5
745,USA,Brand E,Raoh Ramen Noodle Soup Umami Miso Flavor,Pack,4.5
746,MYS,Brand F,Instant Rice Vermicelli Clear Soup Flavour,Pack,3.5
747,MYS,Brand G,Penang Red tom Yum Goong Noodle (New Version),Pack,5
748,NLD,Brand A,Oriental Noodles Hot & Spicy,Pack,3
749,USA,Brand B,Chow Mein Savory Sauce And Restayrant Quality Noodles Roast Chicken Flavor ,Tray,4.5
750,BGD,Brand C,Oriental Style Instant Noodles Shrimp Flavour,Pack,3.3
751,JPN,Brand D,Gold Sumire Ramen,Bowl,5
752,TWN,Brand E,Sunbaked Noodles With Sesame Sauce,Pack,4.5
753,TWN,Brand F,Purple Sweet Potato Noodles With TWNese Sauce,Pack,5
754,TWN,Brand G,Sunbaked Noodles With Spicy Sauce,Pack,4
755,TWN,Brand A,Sweet Potato Noodles With Sesame Paste Sauce,Pack,3.3
756,MYS,Brand B,Taste Of MYS Penang White Curry Ramen,Pack,5
757,MYS,Brand C,Taste Of MYS Penang Asam Laksa Fried Instant Noodle,Pack,4.5
758,MYS,Brand D,Taste Of MYS Penang Hokkien Mee Ramen,Pack,5
759,MYS,Brand E,Taste Of MYS Penang White Curry Fried Instant Noodle,Pack,5
760,MYS,Brand F,Taste Of MYS Penang Asam Laksa Ramen,Pack,5
761,MYS,Brand A,Taste Of MYS Penang Hokkien Mee Fried Instant Noodle,Pack,5
762,MYS,Brand B,Instant Noodles With Chicken Flavour,Pack,3.8
763,THA,Brand C,Instant Flat Shaped Noodles Boat Noodles Nam Tok Flavour,Pack,3.5
764,JPN,Brand D,Plum Mayo Ramen,Pack,4
765,TWN,Brand E,Sichuan Pepper Flavor,Pack,4.8
766,TWN,Brand F,Hu Sesame Flavor,Pack,5
767,TWN,Brand G,Scallion With Sichuan Pepper  Flavor,Pack,5
768,KOR,Brand A,Zha Wang ((Jjawang) Noodles With Chajang Sauce,Pack,5
769,KHM,Brand B,Instant Noodles Stewed Beef Flavour,Pack,3.5
770,CHN,Brand C,Broad Noodle Chilli Oil Flavor,Pack,4.5
771,USA,Brand D,Soon Veggie Noodle Soup,Cup,5
772,MYS,Brand E,MeeKuali spicy Fried Noodle,Pack,4
773,IDN,Brand F,Mi Kuah Rasa Baso Spesial,Pack,3.5
774,USA,Brand G,Udon JPNese Style Pre-Cooked Noodles With Soup Beef Flavor,Bowl,3.3
775,TWN,Brand A,Veggie King Buddha Jump Instant Noodles,Bowl,1.5
776,THA,Brand B,Premier Bowl Instant Noodles Suki Flavour,Bowl,5
777,JPN,Brand C,Nara Tenri Shoyu Ramen,Bowl,4.5
778,MYS,Brand D,Penang Vegetarian Prawn Instant Bowl Noodles,Bowl,4
779,VNM,Brand E,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,3.3
780,JPN,Brand F,Hingya no Shio Ramen,Pack,4
781,NLD,Brand A,Island Of Flavours Tom Yum Instant Noodles Soup,Pack,3
782,DEU,Brand B,Soba Fried Noodles Curry,Pack,4.3
783,CHN,Brand C,Mushroom Instant Noodle,Bowl,4.3
784,NLD,Brand D,Oriental Noodles Oosterse Groenten,Pack,3.5
785,MYS,Brand E,Penang White Curry Noodle (New Version),Pack,5
786,JPN,Brand F,Nagahama Hakata Tonkotsu Ramen,Bowl,4.8
787,THA,Brand G,Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour,Cup,3.5
788,THA,Brand A,Tom Yum Goong Flavour Instant Noodle,Cup,3.5
789,MYS,Brand B,Mi Segera Mmm... Perisa Goreng Ala IDN,Pack,3.5
790,BGD,Brand C,Oriental Style Instant Noodles Tandoori Flavour,Pack,4
791,HUN,Brand D,Oriental Style Instant Noodles Shrimp Creamy Tom Yum Flavour,Pack,4.8
792,THA,Brand E,Vegetarian Instant Noodles Tom Yum Flavour,Pack,4
793,USA,Brand F,Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New Package) ,Cup,3.5
794,CHN,Brand G,Spicy Artificial Fei Chang Instant Vermicelli (New Recipe),Pack,3.8
795,USA,Brand A,Soup All Natural Hot & Sour,Cup,0.3
796,USA,Brand B,Spring Onion Rice Noodle Soup Bowl,Bowl,2.5
797,NLD,Brand C,Instant Noodles Vegetable Flavour,Pack,2.8
798,THA,Brand D,Instant Rice Vermicelli Crab Flavour,Pack,3.5
799,JPN,Brand E,Salty Taste Chanko Noodle,Pack,4.8
800,CAN,Brand F,Kimchee Flavour Noodle Soup,Pack,0
801,MYS,Brand A,Shallot Chicken Instant Noodles,Pack,3
802,MYS,Brand B,Mi Segera Mmm... Perisa Asam Laksa,Pack,3.5
803,MYS,Brand C,Soup Spices Noodle Mee Rempahan Sup,Pack,3.5
804,MYS,Brand D,Tom Yam Instant Noodles,Pack,4.3
805,MYS,Brand E,Kimchi,Cup,4.5
806,MYS,Brand F,Mi Segera Mmm... Perisa Ayam Cendawan,Pack,3.5
807,MYS,Brand G,Curry Flavour Noodles,Cup,3
808,MYS,Brand A,Kua Teaw Segera,Pack,4
809,USA,Brand B,Chow Mein Premium Savory Sauce And Restaurant Quality Noodles Sriracha Flavor,Tray,4.3
810,MYS,Brand C,Instant Noodles Black Pepper Crab Mi Goreng,Cup,3.5
811,JPN,Brand D,Hakata Tonkotsu Ramen,Pack,5
812,NLD,Brand E,Instant Noodles Creamy Tom Yum Shrimp Flavour,Pack,4.5
813,CAN,Brand F,Beef Flavour Instant Noodles,Pack,0
814,MYS,Brand G,Penang Hokkien Prawn Soup Rice Vermicelli (Bihun),Bowl,5
815,KOR,Brand A,Non-Fried Noodle Blackbean Sauce Noodle With Squid,Pack,4.5
816,TWN,Brand B,Instant Non-Fried Noodles Tomato Flavour,Pack,3.3
817,CHN,Brand C,Spicy King Spicy Chicken,Pack,5
818,CHN,Brand D,Supereme Bowl Noodles With Stewed Egg Spicy Flavour,Bowl,3.5
819,CHN,Brand E,Spicy King Bowl Noodle Spicy Chicken,Bowl,5
820,CHN,Brand F,Spicy King Bowl Noodle Spicy Beef,Bowl,4.3
821,CHN,Brand A,Spicy King Spicy Pork,Pack,5
822,CHN,Brand B,Supreme Bowl Noodles With Stewed Egg Sour Beans With Pork Flavour,Bowl,4
823,CHN,Brand C,Spicy King Spicy Beef,Pack,5
824,CHN,Brand D,Supreme Bowl Noodles With Stewed Egg Braised Beef Flavour,Bowl,3.5
825,CHN,Brand E,Spicy King Bowl Noodle Spicy Pork,Bowl,4.5
826,MYS,Brand F,Chef Lontong Flavour,Pack,5
827,JPN,Brand G,Negi Miso No Ippin Ramen,Bowl,5
828,KHM,Brand A,Instant Noodles Shrimp Tom Yum Flavour,Pack,4
829,KOR,Brand B,Bulnak Boeummyun King Noodle,Bowl,3.5
830,USA,Brand C,Cup Noodles Ramen Noodles With Shrimp (New Package) ,Cup,3.5
831,FIN,Brand D,Nuudeli Tom Yum Katkarapu,Pack,3.8
832,JPN,Brand E,Tuna Flavor Ramen,Pack,4.5
833,TWN,Brand F,Sesame & Pepper,Pack,4
834,USA,Brand G,Natural Quality Foods Pad Thai Noodle Bowl,Bowl,1
835,JPN,Brand A,Homestyle Tonjiru,Bowl,4.5
836,THA,Brand B,Cup Noodles Moo Manao Flavour,Cup,4
837,MYS,Brand C,Duck Instant Noodles,Pack,3.5
838,NLD,Brand D,Instant Noodles Beef Flavour,Pack,3.3
839,TWN,Brand E,Veggie Noodle Carrot Noodle With Original Sauce,Pack,4.3
840,BGD,Brand F,Oriental Style Instant Noodles Hot & Spicy Flavour,Pack,4
841,KOR,Brand A,King Bowl Super Spicy Pan Stirfried Noodle,Bowl,5
842,USA,Brand B,Garlic Rice Noodle Soup Bowl,Bowl,3.5
843,JPN,Brand C,Mayo Ramen,Pack,4.8
844,TWN,Brand D,Spicy & Sour Flavor,Pack,5
845,IDN,Brand E,Instant Cup Mi Kuah Rasa Soto,Cup,5
846,THA,Brand F,Jumbo Instant Noodles Tom Yum Kung Creamy Flavour,Pack,5
847,CAN,Brand G,Chili Chicken Flavour Noodle Soup,Cup,3
848,MYS,Brand A,Curry Instant Noodles,Pack,3.5
849,JPN,Brand B,Ramen Shoyu Taste,Bowl,4.3
850,NLD,Brand C,Good Noodles Kerrie,Pack,3.5
851,TWN,Brand D,Veggie Noodle Baby Grass Noodle With Toona Sauce,Pack,5
852,MMR,Brand E,Rangers Snack Noodles Shrimp Tom Yum Flavour,Pack,4.5
853,MYS,Brand F,Curry Me! Penang White Curry Stir-fry Noodle,Pack,4.5
854,USA,Brand G,Udon JPNese Style Pre-Cooked Noodles With Soup Chicken Flavor,Bowl,2.5
855,CHN,Brand A,Braised Beef Noodle,Pack,4.3
856,JPN,Brand B,Raoh Tanrei Koku Shio Ramen,Bowl,4.5
857,THA,Brand C,Instant Noodles Shrimp Tom Yum Flavour,Cup,4.3
858,IDN,Brand D,Instant Cup Mi Goreng,Cup,3.8
859,MYS,Brand E,Monster Snek Mi Pedas,Pack,5
860,CHN,Brand F,Tomato Sauce Instant Noodle,Bowl,4
861,SGP,Brand A,Laksa Singapura,Pack,4.3
862,DEU,Brand B,Instant Noodles Beef Flavour,Pack,3.8
863,MYS,Brand C,Seafood Flavour Noodles,Cup,3.3
864,KHM,Brand D,Instant Noodles Creamy Shrimp Tom Yum Flavour,Pack,5
865,TWN,Brand E,BBQ Pork Flavor Chow Mein,Pack,4.5
866,TWN,Brand F,Zan Vegetarian Instant Noodle Series Shiitake Mushroom Flavour,Cup,2.8
867,JPN,Brand G,Tenobe Somen,Bowl,3.3
868,TWN,Brand A,Jah Jan Men,Bowl,5
869,VNM,Brand B,Oh! Ricey Pho Ga,Bowl,3
870,TWN,Brand C,Veggie Noodle Black Sesame Noodle,Pack,3.3
871,FIN,Brand D,Nuudeli Liha Nudlar Kott,Pack,3.5
872,CHN,Brand E,Artificial Beef Instant Noodles With Soup Base,Pack,3.8
873,MYS,Brand F,Otentiq Cheezy Curry Instant Noodles,Pack,4.5
874,IDN,Brand G,Mi Goreng Dengan Abon,Pack,4.3
875,MYS,Brand A,Chef Lontong Flavour,Cup,5
876,THA,Brand B,Grilled Pork Flavour Instant Noodles,Bowl,2.5
877,VNM,Brand C,Hao Hao Sate Onion Flavour,Cup,2.5
878,MYS,Brand D,MYS White Laksa Instant Noodle,Pack,4
879,MMR,Brand E,Instant Noodles Egg Protein Noodles,Pack,3.5
880,THA,Brand F,Instant Noodles Minced Pork Flavor,Pack,3.8
881,CHN,Brand A,Sichuan Hot Spicy Fish,Pack,3.8
882,MYS,Brand B,Otentiq Cheezy Mushroom Instant Noodles,Pack,5
883,JPN,Brand C,Organic Miso Ramen,Pack,4.5
884,MYS,Brand D,Vegetarian Penang Laksa,Pack,4
885,TWN,Brand E,Instant Non-Fried Noodles Vegetable Curry Flavor,Pack,5
886,HUN,Brand F,Instant Noodles With Shrimp Flavouring,Pack,4
887,MYS,Brand G,Sibu Instant Kampua Original,Pack,4
888,CAN,Brand A,Hot & Spicy Flavour Noodle Soup,Bowl,3.5
889,MYS,Brand B,Hot Cup Goreng Perencah Cili Fiesta,Cup,4.8
890,MYS,Brand C,Gold Bihun Kari Heritage Instant Rice Vermicelli,Pack,4.5
891,CHN,Brand D,Sour & Spicy Flavour,Pack,3.8
892,THA,Brand E,Super Tom Yum Shrimp,Cup,3.5
893,JPN,Brand F,Seafood Noodle,Cup,2.8
894,JPN,Brand G,Organic Shoyu Ramen,Pack,4.3
895,TWN,Brand A,Hakka Flat Noodle With Za Jiang Sauce,Pack,4
896,MYS,Brand B,Mi goreng Pedas Chewy & springy,Pack,3.5
897,USA,Brand C,Instant Lunch Chicken Tortilla Flavor Ramen Noodles With Vegetables,Cup,4
898,MYS,Brand D,Instant Kampua Dark Soy Sauce,Pack,5
899,THA,Brand E,Cup Yentafo Tom Yum Mohfai,Cup,5
900,THA,Brand F,Cup Shrimp Creamy Tom Yum,Cup,5
901,THA,Brand A,Instant Rice Vermicelli Bihun Goreng Original Flavour,Pack,4.8
902,MMR,Brand B,Instant Noodles coconut Milk Flavour,Cup,5
903,BGD,Brand C,Oriental Style Instant Noodles Chicken Flavour,Pack,3.3
904,THA,Brand D,Instant Cup Noodles Minced Prok Flavor,Cup,3.5
905,CHN,Brand E,Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles,Bowl,4
906,CHN,Brand F,Tomato Beef Brisket Flavor Purple Potato Noodle,Pack,5
907,CHN,Brand G,Sea Tangle & Sparerins Flavor Noodles,Bowl,3.8
908,CHN,Brand A,Chef's Grains Millet Noodle,Pack,3.8
909,CHN,Brand B,Chef's Grains Buckwheat Noodle,Pack,3.5
910,CHN,Brand C,Chef's Grains Pea Noodle,Pack,4
911,CHN,Brand D,Sichuan Pepper & Chicken Flavor Noodle,Bowl,4.5
912,CHN,Brand E,Sour Soup & Minced Meat Flavor Chef's Grain Naked Oat Noodles,Pack,5
913,CHN,Brand F,Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles,Pack,4
914,CHN,Brand G,Sea Tangle & Sparerins Flavor Noodles,Bowl,3.8
915,MYS,Brand A,Curry Me! Penang White Curry Soup Noodle,Pack,4.5
916,TWN,Brand B,Veggie World Vegetarian Braised Beef Instant Noodles,Bowl,3.5
917,USA,Brand C,Shin Black Spicy Po-Au-Feu Flavor (Mew Edition),Pack,5
918,KOR,Brand D,Raobokki Noodle (Export Version),Pack,5
919,MYS,Brand E,Emporer Herbs Chicken Noodle,Pack,4.3
920,CHN,Brand F,Sauerkraut Flavor,Pack,4.5
921,KOR,Brand A,Dare You! Habanero Ramen (New Edition),Cup,3.5
922,TWN,Brand B,Black Cock Brand Vegetarian Chicken Noodle,Pack,3.5
923,CAN,Brand C,Chili Seafood Flavor Noodle Soup,Cup,3.3
924,MYS,Brand D,Penang Favourite White Curry Rice Vermicelli,Pack,5
925,IDN,Brand E,Less Fat Noodles Grilled Chicken,Pack,3.8
926,VNM,Brand F,Mi Ly Instant Noodles Mi Chay Vegetarian Flavor,Cup,1.3
927,THA,Brand G,Cup Rice Vermicelli With Clear Soup,Cup,3.5
928,TWN,Brand A,Aloe Thin Noodles With Camelia Oil Vegetable Sauce Flavor,Pack,5
929,VNM,Brand B,Curry Instant Noodle With Chicken,Cup,3
930,VNM,Brand C,Koreno Premium Mushroom Flavor,Pack,1.5
931,MYS,Brand D,Seaweed Instant Noodle,Pack,2
932,VNM,Brand E,Beef Ramen,Pack,4
933,THA,Brand F,Chicken Ramen,Pack,5
934,CHN,Brand G,Shoyu Ramen,Cup,3.8
935,HKG,Brand A,Miso Ramen,Pack,3
936,VNM,Brand B,Curry Ramen,Pack,2.8
937,KOR,Brand C,Tom Yum Ramen,Bowl,5
938,PAK,Brand D,Chicken Instant Noodle,Pack,2.8
939,THA,Brand E,Mushroom Instant Noodle,Cup,3.5
940,CHN,Brand F,Beef and Mushroom Instant Noodle,Pack,3
941,MYS,Brand A,Kimchi Ramen,Pack,5
942,MYS,Brand B,Shoyu Ramen,Pack,5
943,MYS,Brand C,Shoyu Ramen,Pack,5
944,MYS,Brand D,Shoyu Ramen,Pack,3.8
945,KOR,Brand E,Sesame Flavor Ramen Korean Style Instant Noodle,Pack,4.3
946,CHN,Brand F,Seafood Flavour Instant Cooking Noodles,Pack,4.3
947,TWN,Brand G,Instant Noodles With Onion Flavour,Pack,4.3
948,CAN,Brand A,Shrimp Flavour Oriental Noodles And Soup Mix,Cup,2.8
949,VNM,Brand B,Spaghetti Instant Noodles,Tray,4
950,PHL,Brand C,Supreme Jjamppong Korean Style Spicy Seafood Soup,Bowl,3.8
951,MYS,Brand D,Vegetarian Penang Laksa Instant Bowl Noodles,Bowl,2
952,KOR,Brand E,Dare You! Habanero Jjajang Ramen,Cup,3.5
953,CAN,Brand F,Hearty Noodles Savoury Beef Flavour,Cup,0.3
954,USA,Brand G,JPNese Ramen Noodle,Bowl,0
955,TWN,Brand A,TWN Dried Noodles With Onion Oil Sauce,Pack,2
956,MYS,Brand B,Bihun Creamy Tom Yam Flavour,Cup,3.8
957,TWN,Brand C,Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce,Pack,5
958,DEU,Brand D,Instant Nudelsuppe Huhn Geschmack,Pack,3
959,PAK,Brand E,Shoop Instant Noodles Masala Flavour,Pack,3.3
960,THA,Brand F,Quick Zabb Tom Klong Flavour Instant Noodles,Pack,2.8
961,KOR,Brand A,Shoyu Noodle,Cup,3.5
962,VNM,Brand B,Mi Ly Instant Noodles Mi Bo Beef Flavor,Cup,3.5
963,MYS,Brand C,Mi Segera Mmm... Perisa Kari,Pack,3
964,JPN,Brand D,Donbei Tempura Soba Mini,Bowl,4
965,CHN,Brand E,Korean Clay Pot Ramyun,Bowl,2.5
966,MYS,Brand F,Penang Laksa Instant Bowl Noodles,Bowl,3.5
967,CAN,Brand G,Kimchee Noodle Soup,Cup,0
968,TWN,Brand A,Wei Wei A Instant Noodles Hot Beef Flavour,Bowl,2.5
969,JPN,Brand B,Gonbuto Kistune Udon,Bowl,2.8
970,THA,Brand C,Instant Rice Noodle Soup Spicy Shrimp Flavour,Bowl,5
971,CHN,Brand D,Artificial Pork Flavour,Pack,3
972,MYS,Brand E,Penang White Curry Noodle (New Improved Tatse),Pack,5
973,USA,Brand F,Quick2 Hot & Spicy Noodle Soup With Habanero & Lime,Pack,4
974,JPN,Brand G,MenWhite Creamy Tonkotsu,Bowl,3
975,MYS,Brand A,Gold Penang Asam Laksa Bihun,Pack,3.3
976,SGP,Brand B,Chu Qian Yi Ding Tom Yum Instant Noodles With Soup Base,Pack,3.8
977,TWN,Brand C,Aloe This Noodles With Camellia Oil Spicy Bean Sauce Flavor,Pack,2.5
978,MYS,Brand D,Penang Hokkien Prawn Noodle (New Improved Taste),Pack,5
979,CHN,Brand E,Instant Noodles Artificial Spicy Beef Flavor (New Package),Pack,3.5
980,CHN,Brand F,Shanghai Kaiyang Noodle,Pack,4
981,MYS,Brand A,Penang White Curry Noodle,Pack,5
982,JPN,Brand B,Kaoru Maitake Tempura Udon,Bowl,3.3
983,PAK,Brand C,Shoop Instant Noodles Spicy Lemon Flavour,Pack,3.3
984,PHL,Brand D,Supreme Seafood Flavor Big Cup,Bowl,4
985,VNM,Brand E,Koreno Premium Ginseng Flavor,Pack,3
986,JPN,Brand F,Brown Rice Ramen,Pack,0.3
987,MYS,Brand G,Penang Vegetarian Prawn Instant Noodles,Pack,4.5
988,JPN,Brand A,Nyumen Desse Shoyu,Bowl,2.8
989,MYS,Brand B,Perencah Kari Letup Mi Segera,Pack,4
990,HKG,Brand C,Demae Iccho Mushroom With Vegetables Flavour Macaroni,Pack,3.5
991,JPN,Brand D,Mushroom Honpo Shiitake Nutritious Noodle,Pack,1
992,IDN,Brand E,Mi Goreng Ala Jawa Dengan Sambal Cabe Asli,Pack,5
993,VNM,Brand F,Mikochi Tom Yum Flavor Instant Noodles,Pack,3.5
994,KOR,Brand G,Jinjja Jinjja (New),Pack,5
995,TWN,Brand A,Instant Non-Fried Noodles Shallot Pork Flavour,Pack,5
996,IDN,Brand B,Top Ramen Super Noodles Tomato,Pack,3.5
997,THA,Brand C,Cup Rice Vermicelli Shrimp Creamy Tom Yum,Cup,4
998,USA,Brand D,Original Chow Mein Premium Spicy Chicken Flavor,Tray,4
999,MYS,Brand E,White Curry Noodle More Spicy,Pack,3
1000,CHN,Brand F,Emporer Instant Noodles Spicy Chicken,Pack,5
1001,JPN,Brand A,Jan Jan Dashi Shoyu Yakisoba,Cup,2.3
1002,KOR,Brand B,Tteokgukmyun,Pack,4.3
1003,TWN,Brand C,Vegan Chilli With Sesame Sauce,Pack,5
1004,MYS,Brand D,Perisa Sayuran,Pack,3.5
1005,MYS,Brand E,Perisa Kari Sayuran,Pack,3.8
1006,MYS,Brand F,Mi Perencah Ayam Jagung,Pack,3.8
1007,MYS,Brand G,Perisa Bayam,Pack,3.5
1008,MYS,Brand A,Plain Noodles,Pack,#VALUE!
1009,MYS,Brand B,Snek Mi Perisa Ayam,Pack,3.8
1010,MYS,Brand C,Nyonya Curry Laksa,Pack,5
1011,MYS,Brand D,Mi Perencah Asam Pedas,Pack,3.8
1012,MYS,Brand E,Snek Mi Perisa BBQ,Pack,4
1013,MYS,Brand F,Perisa Kari / Curry Flavour,Pack,4
1014,VNM,Brand G,3 Con Tom Instant Noodles THA Sour Shrimp Flavor,Pack,2.8
1015,KOR,Brand A,Dare You! Habanero Ramen (New Edition),Pack,3.8
1016,MYS,Brand B,Penang Authentic White Curry Noodle,Pack,4
1017,JPN,Brand C,Gonbuto Tempura Udon,Bowl,4
1018,THA,Brand D,Pork Flavour Whole Wheat Noodle,Pack,3.8
1019,IDN,Brand E,Authentic IDNn Noodles Vegetable Atta Masala,Pack,3.8
1020,KOR,Brand F,Jjajangmen Chajang Noodle King Bowl,Bowl,5
1021,TWN,Brand A,Steam Vegetarian Flavor Noodles,Pack,3.5
1022,MYS,Brand B,Penang White Curry Instant Bowl Noodles,Bowl,4.8
1023,CHN,Brand C,Artificial Seafood Flavor Instant Noodle,Pack,3.8
1024,MYS,Brand D,Choice Instant Noodles Curry Flavour,Pack,3.5
1025,JPN,Brand E,"Big Cup Ramen Corn, Salt & Butter Flavor",Bowl,5
1026,MYS,Brand F,Mi Goreng Perencah Kari Ori,Pack,4
1027,THA,Brand G,Instant Noodles Cup Beef Flavour,Cup,3.5
1028,JPN,Brand A,Emergency Cup Noodle,Cup,4.3
1029,IDN,Brand B,Cup Noodles Tomato Enjoy Noodles With Hot Soup,Cup,3.3
1030,JPN,Brand C,Baby Star Snack Noodle Chicken Flavour,Pack,2.5
1031,VNM,Brand D,Mì Ly Instant Noodles Mì Thịt Xào Pork Flavor,Cup,3
1032,USA,Brand E,Shin Ramyun Noodle Soup (New Edition),Pack,4.3
1033,SGP,Brand F,Purple Wheat Noodles Soy & Vinegar Flavor,Pack,2.8
1034,MYS,Brand G,White Curry Noodle,Pack,4.5
1035,THA,Brand A,Instant Rice Noodle Spicy Seafood,Tray,3.8
1036,CHN,Brand B,Spicy Beef Flavor Instant Noodle,Pack,4
1037,CAN,Brand C,Beef Flavour Oriental Noodles And Soup Mix,Cup,2
1038,MYS,Brand D,Penang Laksa ,Pack,3.5
1039,IDN,Brand E,Hot Garlic Instant Noodles,Pack,3.8
1040,UK,Brand F,Instant Noodles Taste Sensation Mixed Vegetable Flavour,Pack,3.5
1041,SWE,Brand A,Asia Fast Noodles Snabbnudlar Räksmak,Pack,3
1042,MYS,Brand B,Mi Segera Perisa Itik,Pack,3.8
1043,THA,Brand C,Oriental Style Instant Noodles Pa-Lo Duck Flavour,Pack,3.5
1044,JPN,Brand D,Men Black Seafood Tonkotsu,Bowl,3.5
1045,MYS,Brand E,Penang White CurryMee,Pack,5
1046,CAN,Brand F,Chow Mein JPNese Style Noodles Yakisoba,Pack,5
1047,JPN,Brand G,Curry Noodle,Cup,3.8
1048,TWN,Brand A,Volcano Spicy Pork Noodle,Bowl,4.3
1049,HKG,Brand B,Demae Rice Vermicelli Beef Flavour,Pack,3.5
1050,MYS,Brand C,Penang Asam Pedas Hot & Sour Noodle,Pack,5
1051,USA,Brand D,Pad Thai Instant rice Noodles & Sauce,Tray,1.5
1052,IDN,Brand E,2 Minute Noodles Hungrooo Masala Spicy,Pack,3.8
1053,SGP,Brand F,Noodles Beef Flavour,Cup,2.5
1054,TWN,Brand G,Steam Pork Flavour,Pack,3.8
1055,CHN,Brand A,Instant Noodles Artificial Shallot Beef Flavour,Pack,4.3
1056,JPN,Brand B,Kimchi Noodle,Bowl,3.5
1057,HKG,Brand C,Oat Noodle Tomato Soup Flavored,Pack,4.5
1058,THA,Brand D,Quick Zabb Chili Paste Tom Yum Flavour Instant Noodles,Pack,3.8
1059,VNM,Brand E,Koreno Premium Shrimp Flavor,Pack,3.3
1060,HKG,Brand F,Oat Noodle Pork Rib Flavored,Pack,3.5
1061,MYS,Brand A,Seafood Instant Noodles,Pack,3.8
1062,VNM,Brand B,Sate Flavor Instant Noodles,Pack,3.8
1063,PHL,Brand C,Special Instant Noodles Jjamppong Flavor,Pack,4.5
1064,PHL,Brand D,Special Instant sopas Chicken Flavor,Pack,3.8
1065,PHL,Brand E,Spicy Beef Mami Instant Noodle Soup,Pack,4
1066,PHL,Brand F,Special Instant Curly Spaghetti With Yummy Red Sauce,Pack,4
1067,PHL,Brand G,Supreme Pinoy Chicken Instant Noodles,Cup,3.3
1068,PHL,Brand A,Special Baked Mac Style Instant Macaroni,Pack,4.5
1069,PHL,Brand B,La Paz Batchoy Instant Noodle Soup,Pack,3.8
1070,MYS,Brand C,Instant Kua Teow Tom Yam,Cup,3.8
1071,SGP,Brand D,Chu Qian Yi Ding Spicy Sesame Flavour Instant Noodles With Soup Base,Pack,3.5
1072,KOR,Brand E,Jjamppong Seafood Noodle King Bowl,Bowl,5
1073,VNM,Brand F,Instant Porridge Seafood Flavour,Pack,3.3
1074,JPN,Brand G,Gotsumori Sauce Yakisoba,Tray,5
1075,THA,Brand A,Oriental Style Instant Noodles Wasabi Flavour,Pack,3
1076,IDN,Brand B,Manchurian Instant Noodles,Pack,3.5
1077,MYS,Brand C,Chef Gold Recipe Bihun Kari Seribu Rasa,Pack,4.5
1078,SWE,Brand D,Instant Noodles Spicy Chili,Pack,3.5
1079,JPN,Brand E,Miso Ramen,Pack,3.8
1080,KOR,Brand F,Neoguri Udon Seafood & Mild,Pack,4
1081,MYS,Brand A,Royale Penang Seafood Curry,Pack,4.5
1082,THA,Brand B,Instant Noodles Tom Yum Pork Flavour,Pack,4
1083,HKG,Brand C,JPNese Fried Ramen Noodles Kyoto Barbecue Sauce Flavour,Pack,1.8
1084,TWN,Brand D,Tainan Yi Mien With Sesame Oil Sauce,Pack,3.3
1085,HKG,Brand E,Quick Serve Macaroni Wonton Broth,Pack,3.3
1086,JPN,Brand F,Donbei Kitsune Udon Mini,Bowl,3.5
1087,MYS,Brand G,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,5
1088,SGP,Brand A,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,3.5
1089,IDN,Brand B,Cup Noodles Mug Noodles Spicy Vegetable,Pack,3.8
1090,PAK,Brand C,Shoop Instant Noodles BBQ Flavour,Pack,3.3
1091,CHN,Brand D,Stewed Beef Flavor Cooking Noodle,Pack,4.3
1092,USA,Brand E,Bowl Noodle Soup Shrimp Habanero Lime Flavor,Bowl,3.3
1093,CHN,Brand F,Artificial Pork Flavor Noodles,Pack,4
1094,JPN,Brand G,Ohmori Chukafu Yakisoba,Tray,3.3
1095,MYS,Brand A,Penang Red Tom Yum Goong Noodle,Pack,5
1096,VNM,Brand B,Instant Noodles Xi Gon Artificial Stewed Beef Flavor,Pack,3.3
1097,KOR,Brand C,Sogokimyun Hot Flavor Noodle Soup,Pack,3.5
1098,USA,Brand D,Easy Fideos Picante Lime Shrimp Flavor Ramen Noodle Soup,Cup,3.5
1099,CHN,Brand E,Mianba Pork Ribs Flavor Instant Noodles,Pack,4.5
1100,MYS,Brand F,Instant Noodles Mee Goreng,Cup,3.8
1101,IDN,Brand A,Pop Mie Chicken Flavour Cup Noodles,Cup,3.5
1102,JPN,Brand B,Magomi-an Kitsune Udon (Eastern JPN Flavor),Bowl,4.3
